,state_idx,action_idx,rank,mape,mae,mse,weight
99,33,0,3,55.96556383829364,0.5407680330102743,0.4095175096385139,0.215625
100,33,1,3,31.89382515260355,0.42815124553523526,0.3489039441453173,0.215625
101,33,2,3,46.08767895465158,0.4910480598534248,0.3623042041511373,0.215625
102,34,0,0,0.4042783978115218,0.5513667340214542,0.3433013058802042,0.215625
103,34,1,3,0.42975244098850274,0.5434443429247033,0.3108665811414575,0.215625
104,34,2,1,0.4160011413998765,0.5520963296428811,0.335665307416938,0.215625
105,35,0,1,0.49719154855192427,0.7883021762323356,0.6462395518873433,0.215625
106,35,1,0,0.3733151163967036,0.6028021728348706,0.39422462316788015,0.215625
107,35,2,0,0.4562283087148769,0.7294190580995853,0.5612775182724364,0.215625
108,36,0,2,0.46071889416210904,0.2302336883689238,0.07359379432780862,0.2819078947368421
109,36,1,3,0.800592359409776,0.3784312035222936,0.18317570807196693,0.2819078947368421
110,36,2,3,0.6084056965053602,0.288565677648357,0.11402906542684571,0.2819078947368421
111,37,0,3,0.29290418816083924,0.2039220485142549,0.08609957272712032,0.2819078947368421
112,37,1,3,0.3248488831589325,0.2775757715751523,0.09880343477737803,0.2819078947368421
113,37,2,3,0.30138671073831946,0.21527930408424134,0.09260262593820706,0.2819078947368421
114,38,0,3,0.8336009646912474,0.23804232755915908,0.07738152874643296,0.2819078947368421
115,38,1,3,1.5645979314174685,0.45700143131121607,0.2520484628843726,0.2819078947368421
116,38,2,3,1.1615380956082844,0.33650417178271574,0.14161954908327745,0.2819078947368421
117,39,0,0,0.4910834204764705,0.667545436447532,0.6217422701236348,0.215625
118,39,1,0,0.46670548155674746,0.5995878498484171,0.4888119687089385,0.215625
119,39,2,0,0.4783059687801429,0.6464262848823742,0.5843692265296893,0.215625
120,40,0,3,5.95427104600092,0.865830044171243,0.8302534844588904,0.215625
121,40,1,3,5.271780757789929,0.6752213539888751,0.5660383975018597,0.215625
122,40,2,3,5.813755328426793,0.800499802053997,0.7385790748747482,0.215625
123,41,0,1,0.2410361633625097,0.25454394606577985,0.10889611354381294,0.2819078947368421
124,41,1,2,0.3248021624034161,0.3829759598958055,0.1895440237728064,0.2819078947368421
125,41,2,1,0.24508542507940492,0.2797183827600556,0.11784347634455157,0.2819078947368421
126,42,0,1,0.594933712668669,0.5705788073080875,0.39704373786086045,0.215625
127,42,1,0,0.40054737789145517,0.39593215126176556,0.21859944415866017,0.215625
128,42,2,0,0.4554658183534097,0.4918671698403863,0.34353446238350793,0.215625
129,43,0,3,0.6724446757148949,0.3366953501099295,0.16699500648080148,0.2819078947368421
130,43,1,3,0.5787781485485478,0.36840770610626355,0.15428694713766566,0.2819078947368421
131,43,2,3,0.6519513512139702,0.34292967984205996,0.16099049065063223,0.2819078947368421
132,44,0,3,0.5091428150860295,0.37103639482270867,0.20562738537788117,0.2819078947368421
133,44,1,3,0.45290321217657487,0.3873153579775739,0.17415274652861648,0.2819078947368421
134,44,2,3,0.5064932079303306,0.38595320011290996,0.1994784203816292,0.2819078947368421
135,45,0,0,0.6224905444510668,0.8747449170238725,0.858189546411139,0.215625
